File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
SRR3670410_GSM2200704_Male-PN_single_cell_7_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	17983352	2484205	14482665	1016482	0	800222	1683983	49516439	972790	1639231	970653	10395252	3183272	32355241
SRR3670410_GSM2200704_Male-PN_single_cell_7_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	17788636	2095965	14587535	1105136	0	663585	1432380	41368817	802695	1363228	810003	8592662	2756927	27043302
SRR3670411_GSM2200705_Male-PN_single_cell_8_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	12918001	2277743	10060631	579627	0	658198	1619545	47250484	1000770	1471079	923657	10104625	2851745	30898608
SRR3670411_GSM2200705_Male-PN_single_cell_8_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	12741097	1883679	10239722	617695	1	532135	1351544	38603383	816331	1200551	792922	8165778	2526531	25101270
SRR3670412_GSM2200706_Male-PN_single_cell_9_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	17970085	2466195	14840116	663774	0	1054817	1411378	41892163	920721	1429655	486504	9401776	1441821	28211686
SRR3670412_GSM2200706_Male-PN_single_cell_9_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	17828856	2146292	14960510	722053	1	931520	1214772	35476078	779910	1225812	440056	7917520	1361932	23750848
SRR3670413_GSM2200707_Male-PN_single_cell_10_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	17883588	2045149	14422192	1416245	2	820829	1224320	36157739	644883	1357667	581135	7593461	1906356	24074237
SRR3670413_GSM2200707_Male-PN_single_cell_10_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	17673884	1720902	14397799	1555170	13	685586	1035316	29929782	534353	1126028	491460	6236917	1699904	19841120
SRR3670414_GSM2200708_Female-PN_single_cell_1_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	17295348	2385770	14148866	760711	1	730841	1654929	47931144	780248	1883867	698908	10601053	2084068	31883000
SRR3670414_GSM2200708_Female-PN_single_cell_1_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	17066954	2004297	14259204	803452	1	606627	1397670	39619254	654485	1549691	611641	8666468	1903354	26233615
SRR3670415_GSM2200709_Female-PN_single_cell_2_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	16345796	2452551	13226478	666765	2	705708	1746843	50570610	826915	1915990	959744	11000690	2718268	33149003
SRR3670415_GSM2200709_Female-PN_single_cell_2_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	16130089	2085531	13340104	704450	4	593724	1491807	42407314	703599	1595405	834826	9107736	2470988	27694760
SRR3670416_GSM2200710_Female-PN_single_cell_3_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	19752421	2887478	16167070	697873	0	1325736	1561742	45273304	760272	1722145	644991	9997502	1894911	30253483
SRR3670416_GSM2200710_Female-PN_single_cell_3_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	19586823	2498309	16354755	733757	2	1159737	1338572	38138351	649486	1458137	571086	8362429	1756029	25341184
SRR3670417_GSM2200711_Female-PN_single_cell_4_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	17000933	2989683	13313478	697772	0	1054102	1935581	54721108	862606	2014198	1074642	11755949	3096874	35916839
SRR3670417_GSM2200711_Female-PN_single_cell_4_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	16840358	2547690	13569653	723015	0	902175	1645515	46058997	738796	1680847	956932	9784906	2815647	30081869
SRR3670418_GSM2200712_Female-PN_single_cell_5_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	17629691	2148096	14842311	639284	0	777919	1370177	39701675	664396	1425093	817258	8352719	2572632	25869577
SRR3670418_GSM2200712_Female-PN_single_cell_5_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	17480666	1840215	14963789	676660	2	667152	1173063	33384014	567504	1186432	724453	6932420	2355800	21617405
SRR3670419_GSM2200713_Female-PN_single_cell_6_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	15208426	1985983	12496836	725607	0	607639	1378344	39552578	606774	1453669	794506	8356312	2410415	25930902
SRR3670419_GSM2200713_Female-PN_single_cell_6_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	15012550	1680855	12548364	783330	1	505139	1175716	33060848	513070	1207751	691822	6907156	2174974	21566075
SRR3670420_GSM2200714_Female-PN_single_cell_7_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	20939804	2884286	16971057	1084461	0	1029530	1854756	54159122	859065	2023585	973971	11586853	2795796	35919852
SRR3670420_GSM2200714_Female-PN_single_cell_7_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	20740268	2483267	17058473	1198522	6	884007	1599260	46024345	732352	1712757	846933	9764331	2535778	30432194
SRR3670421_GSM2200715_Female-PN_single_cell_8_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	21646097	1326815	19880340	438942	0	285793	1041022	29945543	546270	1235207	510204	6662538	1491223	19500101
SRR3670421_GSM2200715_Female-PN_single_cell_8_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	20399526	1987551	17356355	1055619	1	328448	1659103	32351565	582490	1325561	557310	7109036	1821174	20955994
SRR3670422_GSM2200716_Female-PN_single_cell_9_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	18112986	2454532	14902833	755621	0	795550	1658982	47776847	886290	1656301	768629	10449030	2216846	31799751
SRR3670422_GSM2200716_Female-PN_single_cell_9_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	17858510	2062438	15000266	795806	0	662320	1400118	39500304	742626	1358817	667210	8540859	1991829	26198963
SRR3670423_GSM2200717_Female-PN_single_cell_10_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	17561077	1807186	15125833	628058	0	611931	1195255	34948599	628828	1320303	601049	7562026	1704344	23132049
SRR3670423_GSM2200717_Female-PN_single_cell_10_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	17338136	1550622	15082462	705052	0	526002	1024620	29556076	540630	1105748	549251	6293391	1608614	19458442
SRR3670424_GSM2200718_Female-PN_single_cell_11_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	19981708	2632311	16038898	1310499	0	920135	1712176	50020351	855219	1792005	929459	10561339	2677182	33205147
SRR3670424_GSM2200718_Female-PN_single_cell_11_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	19784949	2250008	16089260	1445681	0	780063	1469945	42275690	728531	1513885	803464	8887549	2392449	27949812
SRR3670425_GSM2200719_Female-PN_single_cell_12_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	19839792	3446075	15062240	1331476	1	1196609	2249466	65359814	1124394	2413538	1100137	14075553	3172295	43473897
SRR3670425_GSM2200719_Female-PN_single_cell_12_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	19642511	2948379	15224095	1470034	3	1026000	1922379	55120807	951550	2034225	943722	11778415	2823960	36588935
SRR3670426_GSM2200720_Female-PN_single_cell_13_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	16722883	797704	15632131	293047	1	160774	636930	18619304	301850	881836	236481	4238138	715651	12245348
SRR3670426_GSM2200720_Female-PN_single_cell_13_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	15652137	1342294	13489476	820367	0	206864	1135430	20980909	332270	991147	266304	4712732	951551	13726905
SRR3670427_GSM2200721_Zygote_single_cell_1_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	21566765	5006448	15204772	1355537	8	1859410	3147038	92119884	1718024	3524766	780731	21070308	2441470	62584585
SRR3670427_GSM2200721_Zygote_single_cell_1_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	21293901	4179329	15775441	1339104	27	1549139	2630190	74660262	1401586	2828868	703993	16908447	2282680	50534688
SRR3670428_GSM2200722_Zygote_single_cell_2_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	21128493	7062852	12335124	1730504	13	3405613	3657239	104096306	1834170	3656444	1163306	23229251	3517397	70695738
SRR3670428_GSM2200722_Zygote_single_cell_2_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	20801882	5773772	13376082	1651985	43	2787595	2986177	82129006	1464693	2875198	1008431	18182025	3168547	55430112
SRR3670429_GSM2200723_Zygote_single_cell_3_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	18312943	6080777	10571316	1660829	21	2541437	3539340	103277640	1907339	3854567	1052196	23344610	3155506	69963422
SRR3670429_GSM2200723_Zygote_single_cell_3_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	17925614	4921995	11410375	1593205	39	2039216	2882779	81168257	1516454	2994968	909009	18147319	2836766	54763741
SRR3670430_GSM2200724_Zygote_single_cell_4_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	19221451	6471708	10938595	1811132	16	2618097	3853611	112669826	2158553	3724259	1068002	25140576	3296776	77281660
SRR3670430_GSM2200724_Zygote_single_cell_4_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	18801917	5130762	11943721	1727404	30	2033010	3097752	87018632	1674854	2848391	908453	19210756	2923514	59452664
SRR3670431_GSM2200725_Zygote_single_cell_5_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	18619726	6042935	10999716	1577062	13	2447575	3595360	104541031	1973401	4093186	1065663	23923744	3204979	70280058
SRR3670431_GSM2200725_Zygote_single_cell_5_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	18221374	4848289	11858241	1514817	27	1898554	2949735	82837013	1576342	3225485	933020	18773046	2921909	55407211
SRR3670432_GSM2200726_Zygote_single_cell_6_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	8375310	2387187	5504536	483584	3	739312	1647875	48501557	1001988	1633056	684791	10822043	1995896	32363783
SRR3670432_GSM2200726_Zygote_single_cell_6_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	8316102	2059720	5782682	473687	13	647687	1412033	40907012	846446	1365481	606110	9011497	1853800	27223678
SRR3670433_GSM2200727_Zygote_single_cell_7_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	18691193	5601246	11928791	1161150	6	2029748	3571498	104665958	2094727	3590258	1190617	23628441	3529002	70632913
SRR3670433_GSM2200727_Zygote_single_cell_7_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	18538816	4789831	12625591	1123376	18	1753384	3036447	87450796	1755367	2987289	1064195	19544789	3286892	58812264
SRR3670434_GSM2200728_Zygote_single_cell_8_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	17939683	5355095	11462372	1122202	14	1865804	3489291	102521944	1955382	3196577	847470	22871294	2642752	71008469
SRR3670434_GSM2200728_Zygote_single_cell_8_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	17805372	4621591	12088808	1094958	15	1646279	2975312	85913225	1644342	2652704	773903	18978629	2505566	59358081
SRR3670435_GSM2200729_Zygote_single_cell_9_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	17657696	5151635	11399113	1106933	15	1722254	3429381	100672917	1934639	3555362	1003566	22868173	2993829	68317348
SRR3670435_GSM2200729_Zygote_single_cell_9_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	17516952	4430307	12000477	1086135	33	1506501	2923806	84252397	1623131	2946957	901190	18919158	2796974	57064987
SRR3670436_GSM2200730_Zygote_single_cell_10_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	20058533	5509274	13426277	1122960	22	1966959	3542315	103764021	1958910	3545161	1024404	23402229	3074733	70758584
SRR3670436_GSM2200730_Zygote_single_cell_10_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	19894852	4739304	14056892	1098619	37	1721860	3017444	86702364	1638308	2942405	918214	19355547	2864851	58983039
SRR3670437_GSM2200731_Zygote_single_cell_11_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	22842398	5403468	14192247	3246669	14	2133417	3270051	94837051	1906593	3278457	1145936	21509544	3620711	63375810
SRR3670437_GSM2200731_Zygote_single_cell_11_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	22565368	4528542	14695221	3341589	16	1751478	2777064	78604312	1574196	2710074	1014758	17724574	3321063	52259647
SRR3670438_GSM2200732_Zygote_single_cell_12_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	17584391	5582843	10772874	1228665	9	1809829	3773014	110311108	2035044	3864240	1023025	24928079	3107742	75352978
SRR3670438_GSM2200732_Zygote_single_cell_12_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	17353515	4651490	11518388	1183612	25	1514709	3136781	89680050	1660117	3124810	899884	20035726	2850613	61108900
SRR3670439_GSM2200733_Zygote_single_cell_13_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	18699802	5535694	12057400	1106697	11	1982604	3553090	104155597	1902229	3994044	1007240	23787632	3035654	70428798
SRR3670439_GSM2200733_Zygote_single_cell_13_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	18554868	4793180	12676324	1085334	30	1729620	3063560	88131497	1612506	3375035	909505	19954080	2852854	59427517
SRR3670440_GSM2200734_Zygote_single_cell_14_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	21222512	6342199	13642436	1237867	10	2317309	4024890	117954846	2153679	4619507	1006942	27182102	3130161	79862455
SRR3670440_GSM2200734_Zygote_single_cell_14_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	21058190	5494231	14345475	1218467	17	2014955	3479276	100125421	1832116	3941142	918635	22912732	2965530	67555266
SRR3670441_GSM2200735_Zygote_single_cell_15_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	19991353	5360589	13601064	1029688	12	1604527	3756062	108113730	2142767	3715489	1331096	24236346	3965211	72722821
SRR3670441_GSM2200735_Zygote_single_cell_15_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	19836196	4647999	14178705	1009482	10	1407825	3240174	92380190	1835240	3141398	1239375	20433660	3777098	61953419
SRR3670442_GSM2200736_Zygote_single_cell_16_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	17686362	2584199	14512463	589696	4	644365	1939834	56664516	1169722	2391442	591904	13148136	1824114	37539198
SRR3670442_GSM2200736_Zygote_single_cell_16_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	16592606	4333957	10625504	1633132	13	877703	3456254	64191138	1311436	2705151	698644	14755655	2295473	42424779
SRR3670443_GSM2200737_Zygote_single_cell_17_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	19468594	1966337	16957303	544954	0	493017	1473320	42624386	838572	1700567	674813	9613719	1993915	27802800
SRR3670443_GSM2200737_Zygote_single_cell_17_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	18252414	3160540	13667015	1424856	3	639084	2521456	47435703	922460	1887671	775584	10584666	2477092	30788230
SRR3670444_GSM2200738_Zygote_single_cell_18_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	22169630	5343472	15261446	1564708	4	1887859	3455613	101471968	2071171	3682043	1086254	22830035	3293213	68509252
SRR3670444_GSM2200738_Zygote_single_cell_18_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	21955006	4579064	15749276	1626645	21	1614981	2964083	85841412	1752874	3105115	973034	19113170	3056647	57840572
SRR3670445_GSM2200739_2-Cell_embryo1_single_cell_1_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	10491781	3703998	5914803	872976	4	1426941	2277057	65163981	1298509	2143144	645311	14705660	1919612	44451745
SRR3670445_GSM2200739_2-Cell_embryo1_single_cell_1_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	10296708	3018422	6416164	862117	5	1172348	1846074	51343333	1032974	1679821	553840	11482333	1729329	34865036
SRR3670446_GSM2200740_2-Cell_embryo1_single_cell_2_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	18096523	6096282	10637229	1363010	2	1514336	4581946	132745400	2646868	4698528	1190697	30533991	3510206	90165110
SRR3670446_GSM2200740_2-Cell_embryo1_single_cell_2_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	17714767	4843864	11552288	1318611	4	1135856	3708008	103518457	2060880	3609269	1026516	23480027	3154884	70186881
SRR3670447_GSM2200741_2-Cell_embryo2_single_cell_1_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	18396555	5983696	11314129	1098723	7	2775153	3208543	91665817	1834128	3001400	914145	20669871	2725212	62521061
SRR3670447_GSM2200741_2-Cell_embryo2_single_cell_1_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	18009302	4679297	12289015	1040981	9	2149655	2529642	69635035	1410008	2266079	782733	15560394	2443871	47171950
SRR3670448_GSM2200742_2-Cell_embryo2_single_cell_2_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	8890686	2948077	5339524	603085	0	1096909	1851168	53082141	1085508	1784268	595561	12020091	1758402	35838311
SRR3670448_GSM2200742_2-Cell_embryo2_single_cell_2_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	8669457	2248115	5841701	579636	5	799926	1448189	39765791	821535	1320128	494880	8888086	1527791	26713371
SRR3670449_GSM2200743_2-Cell_embryo3_single_cell_1_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	19849079	5725379	13006314	1117377	9	1620361	4105018	120242531	2572661	3942378	949071	27595317	2809069	82374035
SRR3670449_GSM2200743_2-Cell_embryo3_single_cell_1_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	19674864	4858057	13688657	1128146	4	1376723	3481334	99910070	2142684	3260642	870324	22714711	2692609	68229100
SRR3670450_GSM2200744_2-Cell_embryo4_single_cell_1_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	15423749	2885123	11710028	828596	2	645166	2239957	66013329	1400951	2048738	699038	14541751	2852738	44470113
SRR3670450_GSM2200744_2-Cell_embryo4_single_cell_1_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	15303762	2490103	11914363	899295	1	555349	1934754	55792882	1182888	1714489	646786	12141841	2677441	37429437
SRR3670451_GSM2200745_2-Cell_embryo4_single_cell_2_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	16323001	4427944	11026980	868077	0	1117579	3310365	96942676	2064142	3123617	953414	22078208	2833828	65889467
SRR3670451_GSM2200745_2-Cell_embryo4_single_cell_2_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	16195810	3785016	11537533	873258	3	956567	2828449	81325239	1734734	2594147	862604	18324452	2673919	55135383
SRR3670452_GSM2200746_2-Cell_embryo5_single_cell_1_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	17090115	5436142	10601528	1052443	2	1497811	3938331	114940085	2600881	3477892	949096	26278049	2869274	78764893
SRR3670452_GSM2200746_2-Cell_embryo5_single_cell_1_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	16885393	4551848	11288528	1045007	10	1250538	3301310	94400922	2138811	2847895	845196	21347227	2672042	64549751
SRR3670453_GSM2200747_2-Cell_embryo5_single_cell_2_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	18196024	6035819	10998140	1162063	2	1687636	4348183	126651802	2877577	4140319	1118491	29077843	3334129	86103443
SRR3670453_GSM2200747_2-Cell_embryo5_single_cell_2_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	18034203	5055192	11834637	1144368	6	1400731	3654461	103995238	2365180	3401967	992544	23626793	3096127	70512627
SRR3670454_GSM2200748_2-Cell_embryo6_single_cell_1_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	17294793	5131194	11172834	990763	2	1682005	3449189	101530131	2270668	3501627	721779	23502850	2288488	69244719
SRR3670454_GSM2200748_2-Cell_embryo6_single_cell_1_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	17155105	4426667	11727865	1000562	11	1443943	2982724	86119101	1927585	2993429	669107	19825051	2217721	58486208
SRR3670455_GSM2200749_2-Cell_embryo7_single_cell_1_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	19616917	3965826	14817125	833963	3	1318500	2647326	76117045	1251180	2783017	518880	17331893	1641226	52590849
SRR3670455_GSM2200749_2-Cell_embryo7_single_cell_1_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	19439067	3376825	15224771	837467	4	1128476	2248349	63773823	1063917	2306848	516287	14341251	1671959	43873561
SRR3670456_GSM2200750_2-Cell_embryo8_single_cell_1_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	19394741	2313306	16198175	883260	0	583703	1729603	50686988	1051952	2122488	529992	11890314	1599596	33492646
SRR3670456_GSM2200750_2-Cell_embryo8_single_cell_1_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	18099207	3562492	12464673	2072040	2	651382	2911110	55722697	1145737	2333219	630443	12958365	2039527	36615406
SRR3670457_GSM2200751_2-Cell_embryo8_single_cell_2_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	17770507	1349139	16016302	405064	2	316729	1032410	30211803	655949	1194159	411841	6871783	1274379	19803692
SRR3670457_GSM2200751_2-Cell_embryo8_single_cell_2_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	16616144	2350813	13104503	1160822	6	438218	1912595	34750435	737036	1386465	470738	7847278	1634614	22674304
SRR3670458_GSM2200752_2-Cell_embryo9_single_cell_1_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	17413037	5246381	10299604	1867041	11	1309533	3936848	118881672	2061234	4645519	879729	26954868	2751985	81588337
SRR3670458_GSM2200752_2-Cell_embryo9_single_cell_1_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	17104807	3727252	11355680	2021864	11	811617	2915635	85852068	1494506	3283153	689811	19027729	2284347	59072522
SRR3670459_GSM2200753_2-Cell_embryo9_single_cell_2_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	16881504	4063244	10472183	2346075	2	1134384	2928860	88025965	1552847	3841143	710703	20402065	2295021	59224186
SRR3670459_GSM2200753_2-Cell_embryo9_single_cell_2_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	16598170	2970811	11101614	2525743	2	730257	2240554	65192080	1144862	2794469	582799	14834688	1965849	43869413
SRR3670460_GSM2200754_2-Cell_embryo10_single_cell_1_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	18322816	5247786	11404226	1670800	4	1336490	3911296	117891258	2527441	4726688	743390	27373454	2512214	80008071
SRR3670460_GSM2200754_2-Cell_embryo10_single_cell_1_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	18026374	3938679	12255397	1832293	5	871805	3066874	90274766	1923625	3573385	608389	20553617	2170918	61444832
SRR3670461_GSM2200755_2-Cell_embryo10_single_cell_2_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	17504980	5066078	11125281	1313618	3	1254341	3811737	114197898	2497691	4181391	745543	26393425	2418251	77961597
SRR3670461_GSM2200755_2-Cell_embryo10_single_cell_2_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	17205957	3659004	12214078	1332867	8	784140	2874864	83623582	1818475	3011016	591957	18935262	2056564	57210308
SRR3670462_GSM2200756_2-Cell_embryo11_single_cell_1_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	17874042	4418143	11976302	1479593	4	891802	3526341	106462960	1985536	4341671	976159	24182867	3037088	71939639
SRR3670462_GSM2200756_2-Cell_embryo11_single_cell_1_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	17579134	3244926	12745535	1588670	3	575200	2669726	78544259	1460768	3169249	757963	17518440	2509018	53128821
SRR3670463_GSM2200757_2-Cell_embryo11_single_cell_2_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	19868938	5353412	12783716	1731804	6	1248519	4104893	123930842	2276388	5143455	1078230	28207177	3507387	83718205
SRR3670463_GSM2200757_2-Cell_embryo11_single_cell_2_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	19544901	3955708	13726193	1862997	3	815771	3139937	92233830	1692509	3782990	852539	20633139	2941970	62330683
SRR3670464_GSM2200758_2-Cell_embryo12_single_cell_1_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	19211209	5267964	12128150	1815091	4	1120320	4147644	125263825	2109025	5364126	873036	28673047	2826892	85417699
SRR3670464_GSM2200758_2-Cell_embryo12_single_cell_1_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	18857064	3771539	13214319	1871201	5	693603	3077936	90548870	1519689	3819602	681312	20278439	2352576	61897252
SRR3670465_GSM2200759_2-Cell_embryo12_single_cell_2_Mus_musculus_Bisulfite-Seq_1_trimmed_GRCm38_bismark_bt2.bam	18478698	5244961	11317898	1915837	2	1276421	3968540	119291508	2057477	5225791	904752	27377621	2987206	80738661
SRR3670465_GSM2200759_2-Cell_embryo12_single_cell_2_Mus_musculus_Bisulfite-Seq_2_trimmed_GRCm38_bismark_bt2.bam	18166144	3880337	12216084	2069711	12	830779	3049558	89315767	1534363	3859177	726844	20105074	2531573	60558736
